[INFO ] 2020-12-04 11:25:43.684 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 11:25:51.893 [main] - Cards on Page: 15
[INFO ] 2020-12-04 11:25:53.487 [main] - | QA Engineer | Ethos Solutions, LLC | 23 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:25:55.893 [main] - | Senior SQA Engineer | Blackbird Technical Staffing | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:25:57.171 [main] - | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:25:58.296 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:25:59.522 [main] - | Software QA Engineer | Premier Staffing Partners | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:26:00.586 [main] - | QA Engineer | Bear Group | 9 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:26:03.327 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:26:04.543 [main] - | Quality Assurance Engineer | NRC Health | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:26:06.982 [main] - | Director of Quality Assurance | CBTS | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:26:08.171 [main] - | QA Engineer | Relatient, Inc | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-04 11:26:09.562 [main] - | QA Automation Engineer | Brooksource | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:26:10.649 [main] - | Director, Software Quality Assurance | NRC Health | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:26:11.742 [main] - | Shared Services QA Engineer | Apple | 15 days ago | Contains COVID: false |
