[INFO ] 2020-12-04 11:36:52.443 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 11:37:00.716 [main] - Cards on Page: 15
[INFO ] 2020-12-04 11:37:01.901 [main] - | QA Engineer | Ethos Solutions, LLC | 23 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:37:03.258 [main] - | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:37:03.954 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:37:04.575 [main] - | QA Engineer | Bear Group | 9 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:37:05.504 [main] - | Software QA Engineer | Premier Staffing Partners | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:37:06.730 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:37:07.311 [main] - | Quality Assurance Engineer | NRC Health | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:37:08.049 [main] - | Director of Quality Assurance | CBTS | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:37:08.639 [main] - | QA Engineer | Relatient, Inc | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-04 11:37:09.279 [main] - | Director, Software Quality Assurance | NRC Health | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:37:09.975 [main] - | Shared Services QA Engineer | Apple | 15 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:37:10.698 [main] - | QA Engineer | Ansira | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:37:11.438 [main] - | Quality Assurance Engineer | myAgro Farms | 30+ days ago | Contains COVID: false |
