[INFO ] 2020-12-03 11:32:24.111 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-03 11:32:47.960 [main] - Cards on Page: 15
[INFO ] 2020-12-03 11:33:15.537 [main] - | QA Engineer | Ethos Solutions, LLC | 22 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:19.909 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:23.545 [main] - | Software Quality Assurance Analyst (Remote) | Leading Reach, Inc. | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:27.391 [main] - | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:28.506 [main] - | QA Engineer | Bear Group | 8 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:29.410 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:37.660 [main] - | Software QA Specialist | APAX Software | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:33:39.181 [main] - | Software QA Engineer | ChargePoint | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:33:40.455 [main] - | QA Engineer | Relatient, Inc | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:33:43.513 [main] - | Director, Software Quality Assurance | NRC Health | 2 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:45.645 [main] - | Software Quality Assurance Analyst | NurseDash | 13 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:46.832 [main] - | QA Engineer - Remote | MobyMax | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:33:47.836 [main] - | Entry level manual tester/ QA | Qabasa Inc. | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:48.842 [main] - | Quality Assurance Engineer | myAgro Farms | 29 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:51.133 [main] - Cards on Page: 15
[INFO ] 2020-12-03 11:33:53.251 [main] - | QA Automation Engineer | Brooksource | 2 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:54.783 [main] - | Web & Mobile QA Analyst | WAITRAPP | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:57.907 [main] - | QA Engineer | iSolved HCM | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:33:59.885 [main] - | Quality Assurance Engineer | CSI Tech Inc | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-03 11:34:04.076 [main] - | Software Quality Engineer | Alluma | 6 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:34:06.553 [main] - | Shared Services QA Engineer | Apple | 14 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:34:09.821 [main] - | Senior Software QA Engineer | ChargePoint | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:34:12.964 [main] - | QA Engineer | Kenna Security | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:34:23.874 [main] - | QA Engineer | kapwing | 5 days ago | Contains COVID: false |
