[INFO ] 2020-12-04 11:01:11.644 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 11:01:20.056 [main] - Cards on Page: 15
[INFO ] 2020-12-04 11:01:21.563 [main] - | QA Engineer | Ethos Solutions, LLC | 23 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:01:23.073 [main] - | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:01:23.770 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:01:24.421 [main] - | Software QA Engineer | Premier Staffing Partners | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:01:25.064 [main] - | QA Engineer | Bear Group | 9 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:01:26.527 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:01:27.176 [main] - | Director of Quality Assurance | CBTS | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:01:27.715 [main] - | Quality Assurance Engineer | NRC Health | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:01:28.493 [main] - | QA Engineer | Relatient, Inc | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-04 11:01:29.101 [main] - | Director, Software Quality Assurance | NRC Health | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:01:29.723 [main] - | QA Engineer | Ansira | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:01:30.331 [main] - | Shared Services QA Engineer | Apple | 15 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:01:30.924 [main] - | Quality Assurance Engineer | myAgro Farms | 30+ days ago | Contains COVID: false |
