[INFO ] 2020-12-04 11:18:18.730 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 11:18:26.621 [main] - Cards on Page: 15
[INFO ] 2020-12-04 11:18:29.651 [main] - | QA Engineer | Ethos Solutions, LLC | 23 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:18:31.046 [main] - | Senior SQA Engineer | Blackbird Technical Staffing | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:18:32.246 [main] - | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:18:33.281 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:18:34.408 [main] - | Software QA Engineer | Premier Staffing Partners | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:18:35.672 [main] - | QA Engineer | Bear Group | 9 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:18:37.813 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:18:38.923 [main] - | Quality Assurance Engineer | NRC Health | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:18:40.306 [main] - | Director of Quality Assurance | CBTS | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:18:41.648 [main] - | QA Engineer | Relatient, Inc | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-04 11:18:42.629 [main] - | Director, Software Quality Assurance | NRC Health | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:18:43.620 [main] - | QA Engineer | Ansira | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:18:44.689 [main] - | Shared Services QA Engineer | Apple | 15 days ago | Contains COVID: false |
