[INFO ] 2020-12-04 11:43:06.003 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 11:43:14.508 [main] - Cards on Page: 15
[INFO ] 2020-12-04 11:43:16.034 [main] - | QA Engineer | Ethos Solutions, LLC | 23 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:43:17.444 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:43:18.185 [main] - | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:43:18.781 [main] - | QA Engineer | Bear Group | 9 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:43:20.031 [main] - | Software QA Engineer | Premier Staffing Partners | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:43:20.646 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:43:21.204 [main] - | Quality Assurance Engineer | NRC Health | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:43:21.766 [main] - | QA Engineer | Relatient, Inc | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-04 11:43:22.328 [main] - | Software Quality Assurance Engineer (remote) | CNSI | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:43:23.148 [main] - | Director of Quality Assurance | CBTS | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:43:23.699 [main] - | Director, Software Quality Assurance | NRC Health | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:43:24.232 [main] - | Quality Assurance Engineer | myAgro Farms | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:43:24.802 [main] - | QA Engineer | Food52 | 2 days ago | Contains COVID: false |
