[INFO ] 2020-12-04 10:59:01.734 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 10:59:11.202 [main] - Cards on Page: 15
[INFO ] 2020-12-04 10:59:12.444 [main] - | QA Engineer | Ethos Solutions, LLC | 23 days ago | Contains COVID: false |
[INFO ] 2020-12-04 10:59:13.844 [main] - | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 10:59:14.610 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 10:59:15.288 [main] - | Software QA Engineer | Premier Staffing Partners | Today | Contains COVID: false |
[INFO ] 2020-12-04 10:59:16.299 [main] - | QA Engineer | Bear Group | 9 days ago | Contains COVID: false |
[INFO ] 2020-12-04 10:59:17.782 [main] - | Software Quality Assurance Analyst - Medical Device | Helius Medical Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 10:59:18.486 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 10:59:19.147 [main] - | Director of Quality Assurance | CBTS | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 10:59:19.703 [main] - | Quality Assurance Engineer | NRC Health | Today | Contains COVID: false |
[INFO ] 2020-12-04 10:59:20.297 [main] - | QA Engineer | Relatient, Inc | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-04 10:59:20.854 [main] - | Director, Software Quality Assurance | NRC Health | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 10:59:21.573 [main] - | QA Engineer | Ansira | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 10:59:23.303 [main] - | QA Automation Engineer | Brooksource | 3 days ago | Contains COVID: false |
