[INFO ] 2020-12-03 09:08:18.124 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-03 09:08:22.629 [main] - Cards on Page: 15
[INFO ] 2020-12-03 09:08:23.692 [main] - Job: | QA Engineer | Ethos Solutions, LLC | 22 days ago | Contains COVID: false |
[INFO ] 2020-12-03 09:08:24.544 [main] - Job: | Software Quality Assurance Analyst (Remote) | Leading Reach, Inc. | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-03 09:08:25.399 [main] - Job: | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 09:08:26.090 [main] - Job: | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 09:08:26.978 [main] - Job: | QA Engineer | Bear Group | 8 days ago | Contains COVID: false |
[INFO ] 2020-12-03 09:08:27.623 [main] - Job: | QA Engineer | Affinity Resources | 1 day ago | Contains COVID: true |
[INFO ] 2020-12-03 09:08:28.288 [main] - Job: | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 09:08:28.931 [main] - Job: | Software QA Specialist | APAX Software | Today | Contains COVID: false |
[INFO ] 2020-12-03 09:08:29.506 [main] - Job: | Software QA Engineer | ChargePoint | Today | Contains COVID: false |
[INFO ] 2020-12-03 09:08:30.090 [main] - Job: | QA Engineer | Relatient, Inc | Today | Contains COVID: false |
[INFO ] 2020-12-03 09:08:30.685 [main] - Job: | Director, Software Quality Assurance | NRC Health | 2 days ago | Contains COVID: false |
[INFO ] 2020-12-03 09:08:31.280 [main] - Job: | QA Engineer - Remote | MobyMax | Today | Contains COVID: false |
[INFO ] 2020-12-03 09:08:31.847 [main] - Job: | Senior Software QA Engineer | ChargePoint | Today | Contains COVID: false |
[INFO ] 2020-12-03 09:08:32.891 [main] - Job: | QA Engineer | Ansira | 2 days ago | Contains COVID: false |
[INFO ] 2020-12-03 09:08:33.522 [main] - Job: | Software Quality Assurance Analyst | NurseDash | 13 days ago | Contains COVID: false |
