[INFO ] 2020-12-04 11:18:50.913 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 11:18:58.614 [main] - Cards on Page: 15
[INFO ] 2020-12-04 11:19:01.427 [main] - | QA Engineer | Ethos Solutions, LLC | 23 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:19:02.658 [main] - | Senior SQA Engineer | Blackbird Technical Staffing | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:19:03.890 [main] - | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:19:05.358 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:19:06.514 [main] - | Software QA Engineer | Premier Staffing Partners | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:19:07.518 [main] - | QA Engineer | Bear Group | 9 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:19:09.900 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:19:10.815 [main] - | Quality Assurance Engineer | NRC Health | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:19:11.942 [main] - | Director of Quality Assurance | CBTS | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:19:13.031 [main] - | QA Engineer | Relatient, Inc | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-04 11:19:14.125 [main] - | Director, Software Quality Assurance | NRC Health | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:19:15.060 [main] - | QA Engineer | Ansira | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:19:16.020 [main] - | Shared Services QA Engineer | Apple | 15 days ago | Contains COVID: false |
