[INFO ] 2020-12-04 13:30:40.526 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 13:30:50.426 [main] - Cards on Page 1: 15
[INFO ] 2020-12-04 13:30:52.227 [main] - | Software Quality Assurance Engineer (remote) | CNSI | Just posted |
[INFO ] 2020-12-04 13:30:52.991 [main] - | Director of Quality Assurance | CBTS | Just posted |
[INFO ] 2020-12-04 13:30:53.652 [main] - | Senior Quality and Compliance Associate - Remote | Clinical Solutions | Just posted |
[INFO ] 2020-12-04 13:30:54.280 [main] - | Lead DBA | Community Brands | Just posted |
[INFO ] 2020-12-04 13:30:55.846 [main] - | Software QA Engineer | Premier Staffing Partners | Today |
[INFO ] 2020-12-04 13:30:56.520 [main] - | Quality Assurance Engineer | NRC Health | Today |
[INFO ] 2020-12-04 13:30:57.117 [main] - | Software QA Analyst | ARGO | Today |
[INFO ] 2020-12-04 13:30:57.958 [main] - | QA Engineer - REMOTE | Quimbee | Today |
[INFO ] 2020-12-04 13:30:59.424 [main] - | Sr. ServiceNow Tester | Cystems Logic Inc. | Today |
[INFO ] 2020-12-04 13:31:00.127 [main] - | Production Scheduler | Working World | 1 day ago |
[INFO ] 2020-12-04 13:31:00.744 [main] - | QA Engineer | Relatient, Inc | 1 day ago |
[INFO ] 2020-12-04 13:31:01.496 [main] - | Remote - Senior QA Engineer | J2 Cloud Services | 1 day ago |
